app-1  | 127.0.0.1 - - [27/Mar/2026:13:55:41 +0000] "GET / HTTP/1.1" 302 368 "-" "curl/8.14.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:41 +0000] "GET /assets/js/api-client.js HTTP/1.1" 200 2015 "http://app/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:41 +0000] "GET /login HTTP/1.1" 200 1643 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:41 +0000] "GET /assets/css/output.css HTTP/1.1" 200 6072 "http://app/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:41 +0000] "POST /api/users HTTP/1.1" 422 490 "http://app/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:41 +0000] "GET /assets/js/api-client.js HTTP/1.1" 200 2015 "http://app/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:41 +0000] "GET /assets/css/output.css HTTP/1.1" 200 6072 "http://app/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 127.0.0.1 - - [27/Mar/2026:13:55:41 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.66 (Debian) PHP/8.2.30 (internal dummy connection)"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:41 +0000] "GET /register HTTP/1.1" 200 2015 "http://app/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:42 +0000] "GET /register HTTP/1.1" 200 2015 "http://app/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:42 +0000] "GET /register HTTP/1.1" 200 2015 "http://app/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 127.0.0.1 - - [27/Mar/2026:13:55:42 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.66 (Debian) PHP/8.2.30 (internal dummy connection)"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/session HTTP/1.1" 401 506 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/session HTTP/1.1" 401 506 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/users HTTP/1.1" 409 480 "http://app/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/session HTTP/1.1" 200 908 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/session HTTP/1.1" 422 523 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/users HTTP/1.1" 422 571 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/session HTTP/1.1" 200 907 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/users HTTP/1.1" 201 708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "DELETE /api/session HTTP/1.1" 200 624 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/session HTTP/1.1" 401 506 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/users HTTP/1.1" 422 563 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
app-1  | 172.20.0.7 - - [27/Mar/2026:13:55:43 +0000] "POST /api/users HTTP/1.1" 422 554 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0.1) Gecko/20100101 Firefox/146.0.1"
